omega	X
-9.42478	5
-9.39336	4.98028
-9.36195	4.9214
-9.33053	4.82413
-9.29911	4.68978
-9.2677	4.52015
-9.23628	4.31749
-9.20487	4.0845
-9.17345	3.82427
-9.14203	3.54021
-9.11062	3.23607
-9.0792	2.91579
-9.04779	2.58352
-9.01637	2.24351
-8.98495	1.90009
-8.95354	1.55754
-8.92212	1.2201
-8.89071	0.891854
-8.85929	0.576711
-8.82788	0.278312
-8.79646	-2.91689e-15
-8.76504	-0.255234
-8.73363	-0.48479
-8.70221	-0.6865
-8.6708	-0.858648
-8.63938	-1
-8.60796	-1.10981
-8.57655	-1.18783
-8.54513	-1.23432
-8.51372	-1.24999
-8.4823	-1.23607
-8.45088	-1.19419
-8.41947	-1.12641
-8.38805	-1.03516
-8.35664	-0.923212
-8.32522	-0.793604
-8.2938	-0.649611
-8.26239	-0.494675
-8.23097	-0.332356
-8.19956	-0.166264
-8.16814	-2.06157e-15
-8.13672	0.162903
-8.10531	0.31904
-8.07389	0.465194
-8.04248	0.598384
-8.01106	0.715921
-7.97965	0.815447
-7.94823	0.894978
-7.91681	0.952937
-7.8854	0.988176
-7.85398	1
-7.82257	0.988176
-7.79115	0.952937
-7.75973	0.894978
-7.72832	0.815447
-7.6969	0.715921
-7.66549	0.598384
-7.63407	0.465194
-7.60265	0.31904
-7.57124	0.162903
-7.53982	-1.5452e-15
-7.50841	-0.166264
-7.47699	-0.332356
-7.44557	-0.494675
-7.41416	-0.649611
-7.38274	-0.793604
-7.35133	-0.923212
-7.31991	-1.03516
-7.28849	-1.12641
-7.25708	-1.19419
-7.22566	-1.23607
-7.19425	-1.24999
-7.16283	-1.23432
-7.13142	-1.18783
-7.1	-1.10981
-7.06858	-1
-7.03717	-0.858648
-7.00575	-0.6865
-6.97434	-0.48479
-6.94292	-0.255234
-6.9115	8.33608e-15
-6.88009	0.278312
-6.84867	0.576711
-6.81726	0.891854
-6.78584	1.2201
-6.75442	1.55754
-6.72301	1.90009
-6.69159	2.24351
-6.66018	2.58352
-6.62876	2.91579
-6.59734	3.23607
-6.56593	3.54021
-6.53451	3.82427
-6.5031	4.0845
-6.47168	4.31749
-6.44026	4.52015
-6.40885	4.68978
-6.37743	4.82413
-6.34602	4.9214
-6.3146	4.98028
-6.28319	5
-6.25177	4.98028
-6.22035	4.9214
-6.18894	4.82413
-6.15752	4.68978
-6.12611	4.52015
-6.09469	4.31749
-6.06327	4.0845
-6.03186	3.82427
-6.00044	3.54021
-5.96903	3.23607
-5.93761	2.91579
-5.90619	2.58352
-5.87478	2.24351
-5.84336	1.90009
-5.81195	1.55754
-5.78053	1.2201
-5.74911	0.891854
-5.7177	0.576711
-5.68628	0.278312
-5.65487	-1.87514e-15
-5.62345	-0.255234
-5.59203	-0.48479
-5.56062	-0.6865
-5.5292	-0.858648
-5.49779	-1
-5.46637	-1.10981
-5.43496	-1.18783
-5.40354	-1.23432
-5.37212	-1.24999
-5.34071	-1.23607
-5.30929	-1.19419
-5.27788	-1.12641
-5.24646	-1.03516
-5.21504	-0.923212
-5.18363	-0.793604
-5.15221	-0.649611
-5.1208	-0.494675
-5.08938	-0.332356
-5.05796	-0.166264
-5.02655	1.03014e-15
-4.99513	0.162903
-4.96372	0.31904
-4.9323	0.465194
-4.90088	0.598384
