omega	X
-0.628319	-1.23607
-0.596903	-1.24594
-0.565487	-1.18783
-0.534071	-1.05887
-0.502655	-0.858648
-0.471239	-0.589244
-0.439823	-0.255234
-0.408407	0.136449
-0.376991	0.576711
-0.345575	1.05458
-0.314159	1.55754
-0.282743	2.07196
-0.251327	2.58352
-0.219911	3.07769
-0.188496	3.54021
-0.15708	3.95758
-0.125664	4.31749
-0.0942478	4.60924
-0.0628319	4.82413
-0.0314159	4.9557
0	NaN
0.0314159	4.9557
0.0628319	4.82413
0.0942478	4.60924
0.125664	4.31749
0.15708	3.95758
0.188496	3.54021
0.219911	3.07769
0.251327	2.58352
0.282743	2.07196
0.314159	1.55754
0.345575	1.05458
0.376991	0.576711
0.408407	0.136449
0.439823	-0.255234
0.471239	-0.589244
0.502655	-0.858648
0.534071	-1.05887
0.565487	-1.18783
0.596903	-1.24594
0.628319	-1.23607
0.659734	-1.16339
0.69115	-1.03516
0.722566	-0.860416
0.753982	-0.649611
0.785398	-0.414214
0.816814	-0.166264
0.84823	0.082088
0.879646	0.31904
0.911062	0.533585
0.942478	0.715921
0.973894	0.857821
1.00531	0.952937
1.03673	0.99704
1.06814	0.988176
1.09956	0.926736
1.13097	0.815447
1.16239	0.659265
1.19381	0.465194
1.22522	0.242023
1.25664	3.86301e-16
1.28805	-0.249556
1.31947	-0.494675
1.35088	-0.723194
1.3823	-0.923212
1.41372	-1.08355
1.44513	-1.19419
1.47655	-1.24664
1.50796	-1.23432
1.53938	-1.15279
1.5708	-1
1.60221	-0.776358
1.63363	-0.48479
1.66504	-0.130674
1.69646	0.278312
1.72788	0.73241
1.75929	1.2201
1.79071	1.72843
1.82212	2.24351
1.85354	2.75089
1.88496	3.23607
1.91637	3.68499
1.94779	4.0845
1.9792	4.42279
2.01062	4.68978
2.04204	4.87749
2.07345	4.98028
2.10487	4.99507
2.13628	4.9214
2.1677	4.76149
2.19911	4.52015
2.23053	4.2046
2.26195	3.82427
2.29336	3.39041
2.32478	2.91579
2.35619	2.41421
2.38761	1.90009
2.41903	1.38792
2.45044	0.891854
2.48186	0.425202
2.51327	1.33386e-14
2.54469	-0.373368
2.57611	-0.6865
2.60752	-0.933232
2.63894	-1.10981
