o	xo
-3.14159	1
-2.98451	0.926736
-2.82743	0.715921
-2.67035	0.393557
-2.51327	-2.57534e-16
-2.35619	-0.414214
-2.19911	-0.793604
-2.04204	-1.08355
-1.88496	-1.23607
-1.72788	-1.21498
-1.5708	-1
-1.41372	-0.589244
-1.25664	2.08349e-16
-1.09956	0.73241
-0.942478	1.55754
-0.785398	2.41421
-0.628319	3.23607
-0.471239	3.95758
-0.314159	4.52015
-0.15708	4.87749
0	5
0.15708	4.87749
0	5
0.15708	4.87749
0.314159	4.52015
0.471239	3.95758
0.628319	3.23607
0.785398	2.41421
0.942478	1.55754
1.09956	0.73241
1.25664	2.08349e-16
1.41372	-0.589244
1.5708	-1
1.72788	-1.21498
1.88496	-1.23607
2.04204	-1.08355
2.19911	-0.793604
2.35619	-0.414214
2.51327	-2.57534e-16
2.67035	0.393557
2.82743	0.715921
2.98451	0.926736
3.14159	1
3.29867	0.926736
3.45575	0.715921
3.61283	0.393557
3.76991	3.86301e-16
3.92699	-0.414214
4.08407	-0.793604
4.24115	-1.08355
4.39823	-1.23607
4.55531	-1.21498
4.71239	-1
4.86947	-0.589244
5.02655	-8.33397e-16
5.18363	0.73241
5.34071	1.55754
5.49779	2.41421
5.65487	3.23607
5.81195	3.95758
5.96903	4.52015
6.12611	4.87749
6.28319	5
6.44026	4.87749
6.59734	4.52015
6.75442	3.95758
6.9115	3.23607
7.06858	2.41421
7.22566	1.55754
7.38274	0.73241
7.53982	1.2501e-15
7.6969	-0.589244
7.85398	-1
8.01106	-1.21498
8.16814	-1.23607
8.32522	-1.08355
8.4823	-0.793604
8.63938	-0.414214
8.79646	-9.01369e-16
8.95354	0.393557
9.11062	0.715921
9.2677	0.926736
9.42478	1
