omega	X
-9.42478	1
-9.39336	0.99704
-9.36195	0.988176
-9.33053	0.973451
-9.29911	0.952937
-9.2677	0.926736
-9.23628	0.894978
-9.20487	0.857821
-9.17345	0.815447
-9.14203	0.768068
-9.11062	0.715921
-9.0792	0.659265
-9.04779	0.598384
-9.01637	0.533585
-8.98495	0.465194
-8.95354	0.393557
-8.92212	0.31904
-8.89071	0.242023
-8.85929	0.162903
-8.82788	0.082088
-8.79646	-9.01369e-16
-8.76504	-0.0829303
-8.73363	-0.166264
-8.70221	-0.249556
-8.6708	-0.332356
-8.63938	-0.414214
-8.60796	-0.494675
-8.57655	-0.57329
-8.54513	-0.649611
-8.51372	-0.723194
-8.4823	-0.793604
-8.45088	-0.860416
-8.41947	-0.923212
-8.38805	-0.98159
-8.35664	-1.03516
-8.32522	-1.08355
-8.2938	-1.12641
-8.26239	-1.16339
-8.23097	-1.19419
-8.19956	-1.2185
-8.16814	-1.23607
-8.13672	-1.24664
-8.10531	-1.24999
-8.07389	-1.24594
-8.04248	-1.23432
-8.01106	-1.21498
-7.97965	-1.18783
-7.94823	-1.15279
-7.91681	-1.10981
-7.8854	-1.05887
-7.85398	-1
-7.82257	-0.933232
-7.79115	-0.858648
-7.75973	-0.776358
-7.72832	-0.6865
-7.6969	-0.589244
-7.66549	-0.48479
-7.63407	-0.373368
-7.60265	-0.255234
-7.57124	-0.130674
-7.53982	1.2501e-15
-7.50841	0.136449
-7.47699	0.278312
-7.44557	0.425202
-7.41416	0.576711
-7.38274	0.73241
-7.35133	0.891854
-7.31991	1.05458
-7.28849	1.2201
-7.25708	1.38792
-7.22566	1.55754
-7.19425	1.72843
-7.16283	1.90009
-7.13142	2.07196
-7.1	2.24351
-7.06858	2.41421
-7.03717	2.58352
-7.00575	2.75089
-6.97434	2.91579
-6.94292	3.07769
-6.9115	3.23607
-6.88009	3.39041
-6.84867	3.54021
-6.81726	3.68499
-6.78584	3.82427
-6.75442	3.95758
-6.72301	4.0845
-6.69159	4.2046
-6.66018	4.31749
-6.62876	4.42279
-6.59734	4.52015
-6.56593	4.60924
-6.53451	4.68978
-6.5031	4.76149
-6.47168	4.82413
-6.44026	4.87749
-6.40885	4.9214
-6.37743	4.9557
-6.34602	4.98028
-6.3146	4.99507
-6.28319	5
-6.25177	4.99507
-6.22035	4.98028
-6.18894	4.9557
-6.15752	4.9214
-6.12611	4.87749
-6.09469	4.82413
-6.06327	4.76149
-6.03186	4.68978
-6.00044	4.60924
-5.96903	4.52015
-5.93761	4.42279
-5.90619	4.31749
-5.87478	4.2046
-5.84336	4.0845
-5.81195	3.95758
-5.78053	3.82427
-5.74911	3.68499
-5.7177	3.54021
-5.68628	3.39041
-5.65487	3.23607
-5.62345	3.07769
-5.59203	2.91579
-5.56062	2.75089
-5.5292	2.58352
-5.49779	2.41421
-5.46637	2.24351
-5.43496	2.07196
-5.40354	1.90009
-5.37212	1.72843
-5.34071	1.55754
-5.30929	1.38792
-5.27788	1.2201
-5.24646	1.05458
-5.21504	0.891854
-5.18363	0.73241
-5.15221	0.576711
-5.1208	0.425202
-5.08938	0.278312
-5.05796	0.136449
-5.02655	-8.33397e-16
-4.99513	-0.130674
-4.96372	-0.255234
-4.9323	-0.373368
-4.90088	-0.48479
-4.86947	-0.589244
-4.83805	-0.6865
-4.80664	-0.776358
-4.77522	-0.858648
-4.7438	-0.933232
-4.71239	-1
-4.68097	-1.05887
-4.64956	-1.10981
-4.61814	-1.15279
-4.58673	-1.18783
-4.55531	-1.21498
-4.52389	-1.23432
-4.49248	-1.24594
-4.46106	-1.24999
-4.42965	-1.24664
-4.39823	-1.23607
-4.36681	-1.2185
-4.3354	-1.19419
-4.30398	-1.16339
-4.27257	-1.12641
-4.24115	-1.08355
-4.20973	-1.03516
-4.17832	-0.98159
-4.1469	-0.923212
-4.11549	-0.860416
-4.08407	-0.793604
-4.05265	-0.723194
-4.02124	-0.649611
-3.98982	-0.57329
-3.95841	-0.494675
-3.92699	-0.414214
-3.89557	-0.332356
-3.86416	-0.249556
-3.83274	-0.166264
-3.80133	-0.0829303
-3.76991	2.25407e-15
-3.7385	0.082088
-3.70708	0.162903
-3.67566	0.242023
-3.64425	0.31904
-3.61283	0.393557
-3.58142	0.465194
-3.55	0.533585
-3.51858	0.598384
-3.48717	0.659265
-3.45575	0.715921
-3.42434	0.768068
-3.39292	0.815447
-3.3615	0.857821
-3.33009	0.894978
-3.29867	0.926736
-3.26726	0.952937
-3.23584	0.973451
-3.20442	0.988176
-3.17301	0.99704
-3.14159	1
-3.11018	0.99704
-3.07876	0.988176
-3.04734	0.973451
-3.01593	0.952937
-2.98451	0.926736
-2.9531	0.894978
-2.92168	0.857821
-2.89027	0.815447
-2.85885	0.768068
-2.82743	0.715921
-2.79602	0.659265
-2.7646	0.598384
-2.73319	0.533585
-2.70177	0.465194
-2.67035	0.393557
-2.63894	0.31904
-2.60752	0.242023
-2.57611	0.162903
-2.54469	0.082088
-2.51327	-2.12531e-15
-2.48186	-0.0829303
-2.45044	-0.166264
-2.41903	-0.249556
-2.38761	-0.332356
-2.35619	-0.414214
-2.32478	-0.494675
-2.29336	-0.57329
-2.26195	-0.649611
-2.23053	-0.723194
-2.19911	-0.793604
-2.1677	-0.860416
-2.13628	-0.923212
-2.10487	-0.98159
-2.07345	-1.03516
-2.04204	-1.08355
-2.01062	-1.12641
-1.9792	-1.16339
-1.94779	-1.19419
-1.91637	-1.2185
-1.88496	-1.23607
-1.85354	-1.24664
-1.82212	-1.24999
-1.79071	-1.24594
-1.75929	-1.23432
-1.72788	-1.21498
-1.69646	-1.18783
-1.66504	-1.15279
-1.63363	-1.10981
-1.60221	-1.05887
-1.5708	-1
-1.53938	-0.933232
-1.50796	-0.858648
-1.47655	-0.776358
-1.44513	-0.6865
-1.41372	-0.589244
-1.3823	-0.48479
-1.35088	-0.373368
-1.31947	-0.255234
-1.28805	-0.130674
-1.25664	2.08349e-16
-1.22522	0.136449
-1.19381	0.278312
-1.16239	0.425202
-1.13097	0.576711
-1.09956	0.73241
-1.06814	0.891854
-1.03673	1.05458
-1.00531	1.2201
-0.973894	1.38792
-0.942478	1.55754
-0.911062	1.72843
-0.879646	1.90009
-0.84823	2.07196
-0.816814	2.24351
-0.785398	2.41421
-0.753982	2.58352
-0.722566	2.75089
-0.69115	2.91579
-0.659734	3.07769
-0.628319	3.23607
-0.596903	3.39041
-0.565487	3.54021
-0.534071	3.68499
-0.502655	3.82427
-0.471239	3.95758
-0.439823	4.0845
-0.408407	4.2046
-0.376991	4.31749
-0.345575	4.42279
-0.314159	4.52015
-0.282743	4.60924
-0.251327	4.68978
-0.219911	4.76149
-0.188496	4.82413
-0.15708	4.87749
-0.125664	4.9214
-0.0942478	4.9557
-0.0628319	4.98028
-0.0314159	4.99507
0	NaN
0.0314159	4.99507
0.0628319	4.98028
0.0942478	4.9557
0.125664	4.9214
0.15708	4.87749
0.188496	4.82413
0.219911	4.76149
0.251327	4.68978
0.282743	4.60924
0.314159	4.52015
0.345575	4.42279
0.376991	4.31749
0.408407	4.2046
0.439823	4.0845
0.471239	3.95758
0.502655	3.82427
0.534071	3.68499
0.565487	3.54021
0.596903	3.39041
0.628319	3.23607
0.659734	3.07769
0.69115	2.91579
0.722566	2.75089
0.753982	2.58352
0.785398	2.41421
0.816814	2.24351
0.84823	2.07196
0.879646	1.90009
0.911062	1.72843
0.942478	1.55754
0.973894	1.38792
1.00531	1.2201
1.03673	1.05458
1.06814	0.891854
1.09956	0.73241
1.13097	0.576711
1.16239	0.425202
1.19381	0.278312
1.22522	0.136449
1.25664	2.08349e-16
1.28805	-0.130674
1.31947	-0.255234
1.35088	-0.373368
1.3823	-0.48479
1.41372	-0.589244
1.44513	-0.6865
1.47655	-0.776358
1.50796	-0.858648
1.53938	-0.933232
1.5708	-1
1.60221	-1.05887
1.63363	-1.10981
1.66504	-1.15279
1.69646	-1.18783
1.72788	-1.21498
1.75929	-1.23432
1.79071	-1.24594
1.82212	-1.24999
1.85354	-1.24664
1.88496	-1.23607
1.91637	-1.2185
1.94779	-1.19419
1.9792	-1.16339
2.01062	-1.12641
2.04204	-1.08355
2.07345	-1.03516
2.10487	-0.98159
2.13628	-0.923212
2.1677	-0.860416
2.19911	-0.793604
2.23053	-0.723194
2.26195	-0.649611
2.29336	-0.57329
2.32478	-0.494675
2.35619	-0.414214
2.38761	-0.332356
2.41903	-0.249556
2.45044	-0.166264
2.48186	-0.0829303
2.51327	-2.12531e-15
2.54469	0.082088
2.57611	0.162903
2.60752	0.242023
2.63894	0.31904
2.67035	0.393557
2.70177	0.465194
2.73319	0.533585
2.7646	0.598384
2.79602	0.659265
2.82743	0.715921
2.85885	0.768068
2.89027	0.815447
2.92168	0.857821
2.9531	0.894978
2.98451	0.926736
3.01593	0.952937
3.04734	0.973451
3.07876	0.988176
3.11018	0.99704
3.14159	1
3.17301	0.99704
3.20442	0.988176
3.23584	0.973451
3.26726	0.952937
3.29867	0.926736
3.33009	0.894978
3.3615	0.857821
3.39292	0.815447
3.42434	0.768068
3.45575	0.715921
3.48717	0.659265
3.51858	0.598384
3.55	0.533585
3.58142	0.465194
3.61283	0.393557
3.64425	0.31904
3.67566	0.242023
3.70708	0.162903
3.7385	0.082088
3.76991	2.25407e-15
3.80133	-0.0829303
3.83274	-0.166264
3.86416	-0.249556
3.89557	-0.332356
3.92699	-0.414214
3.95841	-0.494675
3.98982	-0.57329
4.02124	-0.649611
4.05265	-0.723194
4.08407	-0.793604
4.11549	-0.860416
4.1469	-0.923212
4.17832	-0.98159
4.20973	-1.03516
4.24115	-1.08355
4.27257	-1.12641
4.30398	-1.16339
4.3354	-1.19419
4.36681	-1.2185
4.39823	-1.23607
4.42965	-1.24664
4.46106	-1.24999
4.49248	-1.24594
4.52389	-1.23432
4.55531	-1.21498
4.58673	-1.18783
4.61814	-1.15279
4.64956	-1.10981
4.68097	-1.05887
4.71239	-1
4.7438	-0.933232
4.77522	-0.858648
4.80664	-0.776358
4.83805	-0.6865
4.86947	-0.589244
4.90088	-0.48479
4.9323	-0.373368
4.96372	-0.255234
4.99513	-0.130674
5.02655	-8.33397e-16
5.05796	0.136449
5.08938	0.278312
5.1208	0.425202
5.15221	0.576711
5.18363	0.73241
5.21504	0.891854
5.24646	1.05458
5.27788	1.2201
5.30929	1.38792
5.34071	1.55754
5.37212	1.72843
5.40354	1.90009
5.43496	2.07196
5.46637	2.24351
5.49779	2.41421
5.5292	2.58352
5.56062	2.75089
5.59203	2.91579
5.62345	3.07769
5.65487	3.23607
5.68628	3.39041
5.7177	3.54021
5.74911	3.68499
5.78053	3.82427
5.81195	3.95758
5.84336	4.0845
5.87478	4.2046
5.90619	4.31749
5.93761	4.42279
5.96903	4.52015
6.00044	4.60924
6.03186	4.68978
6.06327	4.76149
6.09469	4.82413
6.12611	4.87749
6.15752	4.9214
6.18894	4.9557
6.22035	4.98028
6.25177	4.99507
6.28319	5
6.3146	4.99507
6.34602	4.98028
6.37743	4.9557
6.40885	4.9214
6.44026	4.87749
6.47168	4.82413
6.5031	4.76149
6.53451	4.68978
6.56593	4.60924
6.59734	4.52015
6.62876	4.42279
6.66018	4.31749
6.69159	4.2046
6.72301	4.0845
6.75442	3.95758
6.78584	3.82427
6.81726	3.68499
6.84867	3.54021
6.88009	3.39041
6.9115	3.23607
6.94292	3.07769
6.97434	2.91579
7.00575	2.75089
7.03717	2.58352
7.06858	2.41421
7.1	2.24351
7.13142	2.07196
7.16283	1.90009
7.19425	1.72843
7.22566	1.55754
7.25708	1.38792
7.28849	1.2201
7.31991	1.05458
7.35133	0.891854
7.38274	0.73241
7.41416	0.576711
7.44557	0.425202
7.47699	0.278312
7.50841	0.136449
7.53982	1.2501e-15
7.57124	-0.130674
7.60265	-0.255234
7.63407	-0.373368
7.66549	-0.48479
7.6969	-0.589244
7.72832	-0.6865
7.75973	-0.776358
7.79115	-0.858648
7.82257	-0.933232
7.85398	-1
7.8854	-1.05887
7.91681	-1.10981
7.94823	-1.15279
7.97965	-1.18783
8.01106	-1.21498
8.04248	-1.23432
8.07389	-1.24594
8.10531	-1.24999
8.13672	-1.24664
8.16814	-1.23607
8.19956	-1.2185
8.23097	-1.19419
8.26239	-1.16339
8.2938	-1.12641
8.32522	-1.08355
8.35664	-1.03516
8.38805	-0.98159
8.41947	-0.923212
8.45088	-0.860416
8.4823	-0.793604
8.51372	-0.723194
8.54513	-0.649611
8.57655	-0.57329
8.60796	-0.494675
8.63938	-0.414214
8.6708	-0.332356
8.70221	-0.249556
8.73363	-0.166264
8.76504	-0.0829303
8.79646	-9.01369e-16
8.82788	0.082088
8.85929	0.162903
8.89071	0.242023
8.92212	0.31904
8.95354	0.393557
8.98495	0.465194
9.01637	0.533585
9.04779	0.598384
9.0792	0.659265
9.11062	0.715921
9.14203	0.768068
9.17345	0.815447
9.20487	0.857821
9.23628	0.894978
9.2677	0.926736
9.29911	0.952937
9.33053	0.973451
9.36195	0.988176
9.39336	0.99704
9.42478	1
