n xn
-32.000000 -0.791330
-31.000000 -0.243831
-30.000000 0.408082
-29.000000 0.885244
-28.000000 0.983322
-27.000000 0.660317
-26.000000 0.054547
-25.000000 -0.574582
-24.000000 -0.957659
-23.000000 -0.930643
-22.000000 -0.505102
-21.000000 0.136737
-20.000000 0.720022
-19.000000 0.994975
-18.000000 0.843854
-17.000000 0.331374
-16.000000 -0.323009
-15.000000 -0.839072
-14.000000 -0.995822
-13.000000 -0.726136
-12.000000 -0.145500
-11.000000 0.497443
-10.000000 0.927368
-9.000000 0.960170
-8.000000 0.581803
-7.000000 -0.045706
-6.000000 -0.653644
-5.000000 -0.981674
-4.000000 -0.889327
-3.000000 -0.416147
-2.000000 0.235238
-1.000000 0.785887
0.000000 1.000000
1.000000 0.785887
2.000000 0.235238
3.000000 -0.416147
4.000000 -0.889327
5.000000 -0.981674
6.000000 -0.653644
7.000000 -0.045706
8.000000 0.581803
9.000000 0.960170
10.000000 0.927368
11.000000 0.497443
12.000000 -0.145500
13.000000 -0.726136
14.000000 -0.995822
15.000000 -0.839072
16.000000 -0.323009
17.000000 0.331374
18.000000 0.843854
19.000000 0.994975
20.000000 0.720022
21.000000 0.136737
22.000000 -0.505102
23.000000 -0.930643
24.000000 -0.957659
25.000000 -0.574582
26.000000 0.054547
27.000000 0.660317
28.000000 0.983322
29.000000 0.885244
30.000000 0.408082
31.000000 -0.243831
