n	xn
-24	1
-23	0.866025
-22	0.5
-21	-4.28626e-16
-20	-0.5
-19	-0.866025
-18	-1
-17	-0.866025
-16	-0.5
-15	1.19434e-15
-14	0.5
-13	0.866025
-12	1
-11	0.866025
-10	0.5
-9	-1.83697e-16
-8	-0.5
-7	-0.866025
-6	-1
-5	-0.866025
-4	-0.5
-3	6.12323e-17
-2	0.5
-1	0.866025
0	1
1	0.866025
2	0.5
3	6.12323e-17
4	-0.5
5	-0.866025
6	-1
7	-0.866025
8	-0.5
9	-1.83697e-16
10	0.5
11	0.866025
12	1
13	0.866025
14	0.5
15	1.19434e-15
16	-0.5
17	-0.866025
18	-1
19	-0.866025
20	-0.5
21	-4.28626e-16
22	0.5
23	0.866025
24	1
