t	xt
-4.801	2.14937-6.47634i
-4.8	2.10779-6.48712i
-4.799	2.06616-6.49763i
-4.798	2.02449-6.50788i
-4.797	1.98276-6.51787i
-4.796	1.941-6.52758i
-4.795	1.89918-6.53704i
-4.794	1.85733-6.54622i
-4.793	1.81544-6.55514i
-4.792	1.7735-6.56379i
-4.791	1.73154-6.57217i
-4.79	1.68953-6.58029i
-4.789	1.64749-6.58814i
-4.788	1.60543-6.59572i
-4.787	1.56333-6.60304i
-4.786	1.5212-6.61009i
-4.785	1.47905-6.61687i
-4.784	1.43687-6.62338i
-4.783	1.39466-6.62962i
-4.782	1.35244-6.6356i
-4.781	1.3102-6.64131i
-4.78	1.26794-6.64675i
-4.779	1.22566-6.65193i
-4.778	1.18337-6.65683i
-4.777	1.14106-6.66147i
-4.776	1.09874-6.66584i
-4.775	1.05642-6.66995i
-4.774	1.01408-6.67378i
-4.773	0.97174-6.67735i
-4.772	0.929394-6.68065i
-4.771	0.887045-6.68369i
-4.77	0.844695-6.68645i
-4.769	0.802346-6.68895i
-4.768	0.759998-6.69118i
-4.767	0.717654-6.69315i
-4.766	0.675316-6.69485i
-4.765	0.632985-6.69628i
-4.764	0.590662-6.69745i
-4.763	0.54835-6.69834i
-4.762	0.50605-6.69898i
-4.761	0.463764-6.69934i
-4.76	0.421493-6.69945i
-4.759	0.37924-6.69928i
-4.758	0.337005-6.69885i
-4.757	0.29479-6.69816i
-4.756	0.252598-6.6972i
-4.755	0.210429-6.69597i
-4.754	0.168286-6.69449i
-4.753	0.12617-6.69273i
-4.752	0.0840825-6.69072i
-4.751	0.0420252-6.68844i
-4.75	-1.9655e-14-6.68589i
-4.749	-0.0419916-6.68309i
-4.748	-0.083948-6.68002i
-4.747	-0.125868-6.67669i
-4.746	-0.167749-6.6731i
-4.745	-0.209589-6.66924i
-4.744	-0.251389-6.66513i
-4.743	-0.293144-6.66075i
-4.742	-0.334855-6.65612i
-4.741	-0.376519-6.65122i
-4.74	-0.418135-6.64606i
-4.739	-0.459701-6.64065i
-4.738	-0.501215-6.63497i
-4.737	-0.542677-6.62904i
-4.736	-0.584084-6.62285i
-4.735	-0.625434-6.6164i
-4.734	-0.666727-6.6097i
-4.733	-0.70796-6.60274i
-4.732	-0.749133-6.59552i
-4.731	-0.790242-6.58805i
-4.73	-0.831288-6.58032i
-4.729	-0.872268-6.57234i
-4.728	-0.91318-6.5641i
-4.727	-0.954023-6.55561i
-4.726	-0.994796-6.54687i
-4.725	-1.0355-6.53787i
-4.724	-1.07612-6.52863i
-4.723	-1.11668-6.51913i
-4.722	-1.15715-6.50938i
-4.721	-1.19755-6.49938i
-4.72	-1.23787-6.48913i
-4.719	-1.2781-6.47863i
-4.718	-1.31826-6.46789i
-4.717	-1.35833-6.45689i
-4.716	-1.39831-6.44565i
-4.715	-1.43821-6.43416i
-4.714	-1.47801-6.42243i
-4.713	-1.51773-6.41045i
-4.712	-1.55735-6.39823i
-4.711	-1.59689-6.38577i
