t	xt
-2.197	0.787149+2.27572i
-2.196	0.801112+2.26982i
-2.195	0.815031+2.26384i
-2.194	0.828908+2.25777i
-2.193	0.84274+2.25161i
-2.192	0.856528+2.24538i
-2.191	0.870271+2.23905i
-2.19	0.883968+2.23265i
-2.189	0.89762+2.22616i
-2.188	0.911225+2.21959i
-2.187	0.924783+2.21293i
-2.186	0.938293+2.2062i
-2.185	0.951756+2.19938i
-2.184	0.96517+2.19248i
-2.183	0.978535+2.1855i
-2.182	0.991851+2.17843i
-2.181	1.00512+2.17129i
-2.18	1.01833+2.16407i
-2.179	1.0315+2.15676i
-2.178	1.04461+2.14938i
-2.177	1.05767+2.14192i
-2.176	1.07068+2.13437i
-2.175	1.08363+2.12675i
-2.174	1.09654+2.11905i
-2.173	1.10939+2.11128i
-2.172	1.12218+2.10342i
-2.171	1.13492+2.09549i
-2.17	1.14761+2.08749i
-2.169	1.16023+2.0794i
-2.168	1.17281+2.07124i
-2.167	1.18532+2.06301i
-2.166	1.19778+2.0547i
-2.165	1.21019+2.04631i
-2.164	1.22253+2.03785i
-2.163	1.23482+2.02932i
-2.162	1.24704+2.02071i
-2.161	1.25921+2.01203i
-2.16	1.27132+2.00328i
-2.159	1.28337+1.99445i
-2.158	1.29536+1.98556i
-2.157	1.30728+1.97659i
-2.156	1.31915+1.96755i
-2.155	1.33095+1.95844i
-2.154	1.34269+1.94926i
-2.153	1.35437+1.94001i
-2.152	1.36599+1.93068i
-2.151	1.37754+1.9213i
-2.15	1.38903+1.91184i
-2.149	1.40046+1.90231i
-2.148	1.41182+1.89272i
-2.147	1.42311+1.88306i
-2.146	1.43434+1.87333i
-2.145	1.4455+1.86353i
-2.144	1.4566+1.85367i
-2.143	1.46763+1.84375i
-2.142	1.4786+1.83375i
-2.141	1.48949+1.8237i
-2.14	1.50032+1.81358i
-2.139	1.51108+1.80339i
-2.138	1.52178+1.79315i
-2.137	1.5324+1.78284i
-2.136	1.54295+1.77246i
-2.135	1.55344+1.76203i
-2.134	1.56385+1.75153i
-2.133	1.5742+1.74098i
-2.132	1.58447+1.73036i
-2.131	1.59467+1.71968i
-2.13	1.6048+1.70894i
-2.129	1.61486+1.69815i
-2.128	1.62485+1.68729i
-2.127	1.63477+1.67638i
-2.126	1.64461+1.66541i
-2.125	1.65438+1.65438i
-2.124	1.66408+1.6433i
-2.123	1.6737+1.63215i
-2.122	1.68325+1.62096i
-2.121	1.69272+1.60971i
-2.12	1.70212+1.5984i
-2.119	1.71145+1.58704i
-2.118	1.7207+1.57562i
-2.117	1.72987+1.56415i
-2.116	1.73897+1.55263i
-2.115	1.74799+1.54106i
-2.114	1.75693+1.52943i
-2.113	1.7658+1.51776i
-2.112	1.77459+1.50603i
-2.111	1.78331+1.49425i
-2.11	1.79194+1.48243i
-2.109	1.8005+1.47055i
-2.108	1.80898+1.45862i
-2.107	1.81739+1.44665i
-2.106	1.82571+1.43463i
-2.105	1.83395+1.42256i
-2.104	1.84212+1.41044i
-2.103	1.8502+1.39828i
-2.102	1.85821+1.38608i
-2.101	1.86613+1.37382i
-2.1	1.87398+1.36153i
-2.099	1.88175+1.34919i
-2.098	1.88943+1.3368i
-2.097	1.89703+1.32437i
-2.096	1.90455+1.3119i
-2.095	1.91199+1.29939i
-2.094	1.91935+1.28684i
-2.093	1.92663+1.27424i
-2.092	1.93382+1.26161i
-2.091	1.94094+1.24893i
-2.09	1.94797+1.23622i
-2.089	1.95491+1.22346i
-2.088	1.96178+1.21067i
-2.087	1.96856+1.19784i
-2.086	1.97525+1.18498i
-2.085	1.98187+1.17207i
-2.084	1.9884+1.15913i
-2.083	1.99484+1.14616i
-2.082	2.0012+1.13315i
-2.081	2.00748+1.1201i
-2.08	2.01367+1.10703i
-2.079	2.01978+1.09391i
-2.078	2.0258+1.08077i
-2.077	2.03174+1.06759i
-2.076	2.03759+1.05438i
-2.075	2.04336+1.04114i
-2.074	2.04904+1.02787i
-2.073	2.05464+1.01457i
-2.072	2.06015+1.00124i
-2.071	2.06557+0.987884i
-2.07	2.07091+0.974497i
-2.069	2.07616+0.961081i
-2.068	2.08133+0.947638i
-2.067	2.08641+0.934168i
-2.066	2.0914+0.920672i
-2.065	2.0963+0.907151i
-2.064	2.10112+0.893604i
-2.063	2.10585+0.880033i
-2.062	2.11049+0.866437i
-2.061	2.11505+0.852818i
-2.06	2.11952+0.839177i
-2.059	2.1239+0.825513i
-2.058	2.12819+0.811827i
-2.057	2.1324+0.79812i
-2.056	2.13652+0.784392i
-2.055	2.14055+0.770644i
-2.054	2.14449+0.756877i
-2.053	2.14834+0.74309i
-2.052	2.15211+0.729286i
-2.051	2.15578+0.715463i
-2.05	2.15937+0.701623i
-2.049	2.16287+0.687766i
-2.048	2.16629+0.673894i
-2.047	2.16961+0.660005i
-2.046	2.17284+0.646102i
-2.045	2.17599+0.632184i
-2.044	2.17905+0.618252i
-2.043	2.18202+0.604306i
-2.042	2.1849+0.590348i
-2.041	2.18769+0.576378i
-2.04	2.19039+0.562396i
-2.039	2.193+0.548403i
-2.038	2.19553+0.5344i
-2.037	2.19796+0.520386i
-2.036	2.20031+0.506363i
-2.035	2.20256+0.492331i
-2.034	2.20473+0.478291i
-2.033	2.20681+0.464243i
-2.032	2.2088+0.450188i
-2.031	2.2107+0.436127i
-2.03	2.21251+0.422059i
-2.029	2.21423+0.407986i
-2.028	2.21587+0.393908i
-2.027	2.21741+0.379826i
-2.026	2.21887+0.36574i
-2.025	2.22023+0.35165i
-2.024	2.22151+0.337558i
-2.023	2.2227+0.323464i
-2.022	2.2238+0.309368i
-2.021	2.22481+0.295272i
-2.02	2.22573+0.281175i
-2.019	2.22656+0.267078i
-2.018	2.2273+0.252981i
-2.017	2.22796+0.238886i
-2.016	2.22852+0.224793i
-2.015	2.229+0.210702i
-2.014	2.22939+0.196614i
-2.013	2.22969+0.18253i
-2.012	2.2299+0.16845i
-2.011	2.23002+0.154374i
-2.01	2.23005+0.140303i
-2.009	2.23+0.126238i
-2.008	2.22985+0.112179i
-2.007	2.22962+0.0981272i
-2.006	2.2293+0.0840826i
-2.005	2.2289+0.0700459i
-2.004	2.2284+0.0560176i
-2.003	2.22782+0.0419983i
-2.002	2.22715+0.0279886i
-2.001	2.22639+0.013989i
-2	2.22554-1.0902e-15i
-1.999	2.22461-0.0139778i
-1.998	2.22359-0.0279439i
-1.997	2.22248-0.0418977i
-1.996	2.22128-0.0558386i
-1.995	2.22-0.0697663i
-1.994	2.21863-0.08368i
-1.993	2.21717-0.0975792i
-1.992	2.21563-0.111464i
-1.991	2.214-0.125332i
-1.99	2.21228-0.139185i
-1.989	2.21048-0.153021i
-1.988	2.20859-0.16684i
-1.987	2.20662-0.180641i
-1.986	2.20456-0.194425i
-1.985	2.20241-0.208189i
-1.984	2.20018-0.221934i
-1.983	2.19786-0.23566i
-1.982	2.19546-0.249365i
-1.981	2.19297-0.263049i
-1.98	2.1904-0.276712i
-1.979	2.18774-0.290353i
-1.978	2.185-0.303971i
-1.977	2.18217-0.317567i
-1.976	2.17926-0.331139i
-1.975	2.17627-0.344687i
-1.974	2.17319-0.358211i
-1.973	2.17003-0.37171i
-1.972	2.16678-0.385183i
-1.971	2.16346-0.39863i
-1.97	2.16004-0.41205i
-1.969	2.15655-0.425444i
-1.968	2.15297-0.43881i
-1.967	2.14931-0.452148i
-1.966	2.14557-0.465457i
-1.965	2.14175-0.478737i
-1.964	2.13784-0.491988i
-1.963	2.13385-0.505208i
-1.962	2.12979-0.518398i
-1.961	2.12564-0.531557i
-1.96	2.12141-0.544684i
-1.959	2.11709-0.55778i
-1.958	2.1127-0.570842i
-1.957	2.10823-0.583872i
-1.956	2.10368-0.596868i
-1.955	2.09905-0.60983i
-1.954	2.09434-0.622757i
-1.953	2.08955-0.63565i
-1.952	2.08468-0.648507i
-1.951	2.07973-0.661328i
-1.95	2.0747-0.674112i
-1.949	2.0696-0.68686i
-1.948	2.06442-0.69957i
-1.947	2.05916-0.712242i
-1.946	2.05382-0.724876i
-1.945	2.0484-0.737471i
-1.944	2.04291-0.750027i
-1.943	2.03735-0.762543i
-1.942	2.0317-0.775019i
-1.941	2.02598-0.787454i
-1.94	2.02018-0.799848i
-1.939	2.01431-0.8122i
-1.938	2.00837-0.82451i
-1.937	2.00235-0.836778i
-1.936	1.99625-0.849003i
-1.935	1.99008-0.861184i
-1.934	1.98384-0.873322i
-1.933	1.97752-0.885415i
-1.932	1.97113-0.897464i
-1.931	1.96466-0.909467i
-1.93	1.95813-0.921425i
-1.929	1.95152-0.933336i
-1.928	1.94484-0.945201i
-1.927	1.93808-0.95702i
-1.926	1.93126-0.96879i
-1.925	1.92437-0.980513i
-1.924	1.9174-0.992188i
-1.923	1.91036-1.00381i
-1.922	1.90326-1.01539i
-1.921	1.89608-1.02692i
-1.92	1.88884-1.0384i
-1.919	1.88152-1.04982i
-1.918	1.87414-1.0612i
-1.917	1.86669-1.07253i
-1.916	1.85917-1.0838i
-1.915	1.85158-1.09502i
-1.914	1.84393-1.10619i
-1.913	1.8362-1.11731i
-1.912	1.82842-1.12837i
-1.911	1.82056-1.13938i
-1.91	1.81264-1.15034i
-1.909	1.80466-1.16124i
-1.908	1.79661-1.17209i
-1.907	1.78849-1.18288i
-1.906	1.78031-1.19362i
-1.905	1.77207-1.2043i
-1.904	1.76376-1.21492i
-1.903	1.75539-1.22549i
-1.902	1.74696-1.236i
-1.901	1.73846-1.24645i
-1.9	1.7299-1.25685i
-1.899	1.72128-1.26718i
-1.898	1.7126-1.27746i
-1.897	1.70386-1.28768i
-1.896	1.69506-1.29784i
-1.895	1.68619-1.30795i
-1.894	1.67727-1.31799i
-1.893	1.66829-1.32797i
-1.892	1.65925-1.33789i
-1.891	1.65015-1.34775i
-1.89	1.64099-1.35755i
-1.889	1.63178-1.36728i
-1.888	1.62251-1.37696i
-1.887	1.61318-1.38657i
-1.886	1.60379-1.39612i
-1.885	1.59435-1.40561i
-1.884	1.58485-1.41503i
-1.883	1.5753-1.42439i
-1.882	1.56569-1.43369i
-1.881	1.55603-1.44292i
-1.88	1.54632-1.45209i
-1.879	1.53655-1.46119i
-1.878	1.52673-1.47023i
-1.877	1.51685-1.4792i
-1.876	1.50692-1.48811i
-1.875	1.49695-1.49695i
-1.874	1.48692-1.50572i
-1.873	1.47683-1.51443i
-1.872	1.4667-1.52307i
-1.871	1.45652-1.53164i
-1.87	1.44629-1.54014i
-1.869	1.43601-1.54858i
-1.868	1.42568-1.55695i
-1.867	1.41531-1.56525i
-1.866	1.40488-1.57348i
-1.865	1.39441-1.58165i
-1.864	1.38389-1.58974i
-1.863	1.37332-1.59776i
-1.862	1.36271-1.60572i
-1.861	1.35206-1.6136i
-1.86	1.34135-1.62142i
-1.859	1.33061-1.62916i
-1.858	1.31982-1.63684i
-1.857	1.30898-1.64444i
-1.856	1.29811-1.65197i
-1.855	1.28719-1.65943i
-1.854	1.27622-1.66682i
-1.853	1.26522-1.67413i
-1.852	1.25417-1.68138i
-1.851	1.24309-1.68855i
-1.85	1.23196-1.69565i
-1.849	1.22079-1.70267i
-1.848	1.20959-1.70963i
-1.847	1.19834-1.71651i
-1.846	1.18706-1.72331i
-1.845	1.17574-1.73004i
-1.844	1.16438-1.7367i
-1.843	1.15298-1.74329i
-1.842	1.14155-1.7498i
-1.841	1.13008-1.75623i
-1.84	1.11858-1.76259i
-1.839	1.10704-1.76888i
-1.838	1.09546-1.77509i
-1.837	1.08385-1.78122i
-1.836	1.07221-1.78728i
-1.835	1.06054-1.79327i
-1.834	1.04883-1.79918i
-1.833	1.03709-1.80501i
-1.832	1.02532-1.81076i
-1.831	1.01351-1.81644i
-1.83	1.00168-1.82205i
-1.829	0.989815-1.82757i
-1.828	0.977921-1.83302i
-1.827	0.965998-1.8384i
-1.826	0.954047-1.84369i
-1.825	0.942067-1.84891i
-1.824	0.930059-1.85405i
-1.823	0.918024-1.85911i
-1.822	0.905963-1.8641i
-1.821	0.893875-1.86901i
-1.82	0.881761-1.87384i
-1.819	0.869622-1.87859i
-1.818	0.857458-1.88326i
-1.817	0.845271-1.88786i
-1.816	0.833059-1.89237i
-1.815	0.820824-1.89681i
-1.814	0.808566-1.90117i
-1.813	0.796287-1.90545i
-1.812	0.783985-1.90965i
-1.811	0.771662-1.91378i
-1.81	0.759319-1.91782i
-1.809	0.746955-1.92178i
-1.808	0.734571-1.92567i
-1.807	0.722169-1.92947i
-1.806	0.709747-1.9332i
-1.805	0.697308-1.93685i
-1.804	0.68485-1.94041i
-1.803	0.672376-1.9439i
-1.802	0.659885-1.94731i
-1.801	0.647378-1.95063i
-1.8	0.634855-1.95388i
-1.799	0.622317-1.95705i
-1.798	0.609764-1.96014i
-1.797	0.597197-1.96314i
-1.796	0.584617-1.96607i
-1.795	0.572023-1.96892i
-1.794	0.559417-1.97168i
-1.793	0.546799-1.97437i
-1.792	0.534169-1.97698i
-1.791	0.521529-1.9795i
-1.79	0.508877-1.98195i
-1.789	0.496216-1.98431i
-1.788	0.483545-1.98659i
-1.787	0.470865-1.9888i
-1.786	0.458176-1.99092i
-1.785	0.44548-1.99296i
-1.784	0.432776-1.99492i
-1.783	0.420065-1.9968i
-1.782	0.407347-1.9986i
-1.781	0.394624-2.00032i
-1.78	0.381895-2.00196i
-1.779	0.369161-2.00352i
-1.778	0.356423-2.005i
-1.777	0.343681-2.0064i
-1.776	0.330935-2.00771i
-1.775	0.318186-2.00895i
-1.774	0.305435-2.0101i
-1.773	0.292682-2.01118i
-1.772	0.279928-2.01217i
-1.771	0.267173-2.01309i
-1.77	0.254417-2.01392i
-1.769	0.241662-2.01467i
-1.768	0.228907-2.01535i
-1.767	0.216153-2.01594i
-1.766	0.203401-2.01645i
-1.765	0.190651-2.01688i
-1.764	0.177904-2.01723i
-1.763	0.16516-2.0175i
-1.762	0.152419-2.01769i
-1.761	0.139683-2.0178i
-1.76	0.126951-2.01783i
-1.759	0.114225-2.01778i
-1.758	0.101504-2.01766i
-1.757	0.0887892-2.01745i
-1.756	0.0760811-2.01716i
-1.755	0.0633801-2.01679i
-1.754	0.0506868-2.01634i
-1.753	0.0380017-2.01581i
-1.752	0.0253251-2.01521i
-1.751	0.0126578-2.01452i
-1.75	-8.63148e-16-2.01375i
-1.749	-0.0126476-2.01291i
-1.748	-0.0252847-2.01198i
-1.747	-0.0379106-2.01098i
-1.746	-0.0505249-2.0099i
-1.745	-0.0631271-2.00874i
-1.744	-0.0757168-2.0075i
-1.743	-0.0882933-2.00618i
-1.742	-0.100856-2.00478i
-1.741	-0.113405-2.00331i
-1.74	-0.12594-2.00176i
-1.739	-0.138459-2.00012i
-1.738	-0.150963-1.99842i
-1.737	-0.163451-1.99663i
-1.736	-0.175923-1.99476i
-1.735	-0.188377-1.99282i
-1.734	-0.200814-1.9908i
-1.733	-0.213234-1.98871i
-1.732	-0.225634-1.98653i
-1.731	-0.238016-1.98428i
-1.73	-0.250379-1.98195i
-1.729	-0.262722-1.97955i
-1.728	-0.275044-1.97707i
-1.727	-0.287346-1.97451i
-1.726	-0.299627-1.97188i
-1.725	-0.311886-1.96917i
-1.724	-0.324123-1.96638i
-1.723	-0.336337-1.96352i
-1.722	-0.348528-1.96059i
-1.721	-0.360695-1.95758i
-1.72	-0.372839-1.95449i
-1.719	-0.384958-1.95133i
-1.718	-0.397052-1.94809i
-1.717	-0.40912-1.94478i
-1.716	-0.421163-1.94139i
-1.715	-0.433179-1.93793i
-1.714	-0.445169-1.9344i
-1.713	-0.457131-1.93079i
-1.712	-0.469066-1.92711i
-1.711	-0.480973-1.92336i
-1.71	-0.492851-1.91953i
-1.709	-0.5047-1.91563i
-1.708	-0.516519-1.91165i
-1.707	-0.528309-1.90761i
-1.706	-0.540068-1.90349i
-1.705	-0.551797-1.8993i
-1.704	-0.563494-1.89503i
-1.703	-0.57516-1.8907i
-1.702	-0.586793-1.88629i
-1.701	-0.598394-1.88182i
-1.7	-0.609962-1.87727i
-1.699	-0.621496-1.87265i
-1.698	-0.632997-1.86796i
-1.697	-0.644463-1.8632i
-1.696	-0.655895-1.85837i
-1.695	-0.667291-1.85347i
-1.694	-0.678652-1.8485i
-1.693	-0.689977-1.84347i
-1.692	-0.701266-1.83836i
-1.691	-0.712518-1.83318i
-1.69	-0.723732-1.82794i
-1.689	-0.734909-1.82263i
-1.688	-0.746048-1.81725i
-1.687	-0.757148-1.8118i
-1.686	-0.76821-1.80628i
-1.685	-0.779232-1.8007i
-1.684	-0.790214-1.79505i
-1.683	-0.801157-1.78933i
-1.682	-0.812059-1.78355i
-1.681	-0.82292-1.7777i
-1.68	-0.83374-1.77179i
-1.679	-0.844518-1.76581i
-1.678	-0.855254-1.75976i
-1.677	-0.865947-1.75365i
-1.676	-0.876598-1.74748i
-1.675	-0.887205-1.74124i
-1.674	-0.897769-1.73494i
-1.673	-0.908289-1.72857i
-1.672	-0.918764-1.72214i
-1.671	-0.929195-1.71565i
-1.67	-0.93958-1.70909i
-1.669	-0.94992-1.70247i
-1.668	-0.960214-1.69579i
-1.667	-0.970461-1.68905i
-1.666	-0.980663-1.68224i
-1.665	-0.990817-1.67538i
-1.664	-1.00092-1.66845i
-1.663	-1.01098-1.66147i
-1.662	-1.02099-1.65442i
-1.661	-1.03096-1.64731i
-1.66	-1.04087-1.64015i
-1.659	-1.05073-1.63292i
-1.658	-1.06055-1.62564i
-1.657	-1.07031-1.61829i
-1.656	-1.08003-1.61089i
-1.655	-1.08969-1.60343i
-1.654	-1.09931-1.59592i
-1.653	-1.10887-1.58834i
-1.652	-1.11838-1.58071i
-1.651	-1.12784-1.57302i
-1.65	-1.13724-1.56528i
-1.649	-1.1466-1.55748i
-1.648	-1.1559-1.54963i
-1.647	-1.16514-1.54172i
-1.646	-1.17434-1.53375i
-1.645	-1.18348-1.52573i
-1.644	-1.19256-1.51766i
-1.643	-1.2016-1.50953i
-1.642	-1.21057-1.50135i
-1.641	-1.21949-1.49312i
-1.64	-1.22836-1.48483i
-1.639	-1.23717-1.47649i
-1.638	-1.24592-1.4681i
-1.637	-1.25462-1.45966i
-1.636	-1.26326-1.45117i
-1.635	-1.27185-1.44263i
-1.634	-1.28037-1.43403i
-1.633	-1.28884-1.42539i
-1.632	-1.29725-1.4167i
-1.631	-1.30561-1.40796i
-1.63	-1.3139-1.39916i
-1.629	-1.32214-1.39033i
-1.628	-1.33032-1.38144i
-1.627	-1.33843-1.3725i
-1.626	-1.34649-1.36352i
-1.625	-1.35449-1.35449i
-1.624	-1.36243-1.34542i
-1.623	-1.37031-1.33629i
-1.622	-1.37813-1.32713i
-1.621	-1.38588-1.31792i
-1.62	-1.39358-1.30866i
-1.619	-1.40121-1.29936i
-1.618	-1.40879-1.29001i
-1.617	-1.4163-1.28062i
-1.616	-1.42375-1.27119i
-1.615	-1.43113-1.26171i
-1.614	-1.43846-1.2522i
-1.613	-1.44572-1.24264i
-1.612	-1.45291-1.23303i
-1.611	-1.46005-1.22339i
-1.61	-1.46712-1.21371i
-1.609	-1.47413-1.20398i
-1.608	-1.48107-1.19422i
-1.607	-1.48795-1.18442i
-1.606	-1.49476-1.17457i
-1.605	-1.50151-1.16469i
-1.604	-1.5082-1.15477i
-1.603	-1.51482-1.14482i
-1.602	-1.52137-1.13482i
-1.601	-1.52786-1.12479i
-1.6	-1.53429-1.11472i
-1.599	-1.54064-1.10462i
-1.598	-1.54693-1.09448i
-1.597	-1.55316-1.0843i
-1.596	-1.55932-1.07409i
-1.595	-1.56541-1.06385i
-1.594	-1.57143-1.05357i
-1.593	-1.57739-1.04326i
-1.592	-1.58328-1.03292i
-1.591	-1.5891-1.02254i
-1.59	-1.59486-1.01213i
-1.589	-1.60055-1.00169i
-1.588	-1.60617-0.991214i
-1.587	-1.61172-0.980711i
-1.586	-1.6172-0.970177i
-1.585	-1.62262-0.959612i
-1.584	-1.62796-0.949019i
-1.583	-1.63324-0.938396i
-1.582	-1.63845-0.927744i
-1.581	-1.64359-0.917064i
-1.58	-1.64866-0.906357i
-1.579	-1.65366-0.895622i
-1.578	-1.65859-0.88486i
-1.577	-1.66345-0.874072i
-1.576	-1.66824-0.863257i
-1.575	-1.67296-0.852417i
-1.574	-1.67761-0.841552i
-1.573	-1.6822-0.830663i
-1.572	-1.68671-0.819749i
-1.571	-1.69115-0.808811i
-1.57	-1.69552-0.79785i
-1.569	-1.69982-0.786867i
-1.568	-1.70405-0.775861i
-1.567	-1.7082-0.764832i
-1.566	-1.71229-0.753783i
-1.565	-1.71631-0.742712i
-1.564	-1.72025-0.731621i
-1.563	-1.72412-0.72051i
-1.562	-1.72793-0.709379i
-1.561	-1.73166-0.698229i
-1.56	-1.73531-0.68706i
-1.559	-1.7389-0.675873i
-1.558	-1.74242-0.664668i
-1.557	-1.74586-0.653445i
-1.556	-1.74923-0.642206i
-1.555	-1.75253-0.63095i
-1.554	-1.75576-0.619678i
-1.553	-1.75891-0.608391i
-1.552	-1.762-0.597089i
-1.551	-1.76501-0.585772i
-1.55	-1.76795-0.57444i
-1.549	-1.77081-0.563095i
-1.548	-1.77361-0.551737i
-1.547	-1.77633-0.540366i
-1.546	-1.77897-0.528983i
-1.545	-1.78155-0.517588i
-1.544	-1.78405-0.506182i
-1.543	-1.78648-0.494764i
-1.542	-1.78884-0.483336i
-1.541	-1.79113-0.471899i
-1.54	-1.79334-0.460451i
-1.539	-1.79548-0.448995i
-1.538	-1.79754-0.437529i
-1.537	-1.79954-0.426056i
-1.536	-1.80146-0.414575i
-1.535	-1.80331-0.403087i
-1.534	-1.80508-0.391592i
-1.533	-1.80678-0.38009i
-1.532	-1.80841-0.368583i
-1.531	-1.80997-0.35707i
-1.53	-1.81145-0.345553i
-1.529	-1.81286-0.334031i
-1.528	-1.8142-0.322505i
-1.527	-1.81546-0.310975i
-1.526	-1.81665-0.299442i
-1.525	-1.81777-0.287907i
-1.524	-1.81882-0.276369i
-1.523	-1.81979-0.26483i
-1.522	-1.82069-0.253289i
-1.521	-1.82152-0.241748i
-1.52	-1.82227-0.230206i
-1.519	-1.82295-0.218665i
-1.518	-1.82356-0.207124i
-1.517	-1.8241-0.195584i
-1.516	-1.82456-0.184045i
-1.515	-1.82495-0.172508i
-1.514	-1.82527-0.160974i
-1.513	-1.82551-0.149443i
-1.512	-1.82568-0.137915i
-1.511	-1.82578-0.12639i
-1.51	-1.82581-0.11487i
-1.509	-1.82577-0.103355i
-1.508	-1.82565-0.0918445i
-1.507	-1.82546-0.0803398i
-1.506	-1.8252-0.068841i
-1.505	-1.82487-0.0573487i
-1.504	-1.82446-0.0458633i
-1.503	-1.82398-0.0343853i
-1.502	-1.82343-0.0229151i
-1.501	-1.82281-0.0114532i
-1.5	-1.82212+6.69436e-16i
-1.499	-1.82135+0.0114441i
-1.498	-1.82052+0.0228785i
-1.497	-1.81961+0.0343029i
-1.496	-1.81863+0.0457168i
-1.495	-1.81758+0.0571198i
-1.494	-1.81646+0.0685114i
-1.493	-1.81527+0.0798911i
-1.492	-1.814+0.0912586i
-1.491	-1.81267+0.102613i
-1.49	-1.81126+0.113955i
-1.489	-1.80979+0.125283i
-1.488	-1.80824+0.136597i
-1.487	-1.80662+0.147897i
-1.486	-1.80494+0.159181i
-1.485	-1.80318+0.170451i
-1.484	-1.80135+0.181704i
-1.483	-1.79946+0.192942i
-1.482	-1.79749+0.204162i
-1.481	-1.79545+0.215366i
-1.48	-1.79335+0.226552i
-1.479	-1.79117+0.237721i
-1.478	-1.78893+0.248871i
-1.477	-1.78661+0.260002i
-1.476	-1.78423+0.271114i
-1.475	-1.78178+0.282206i
-1.474	-1.77926+0.293278i
-1.473	-1.77667+0.30433i
-1.472	-1.77401+0.315361i
-1.471	-1.77129+0.32637i
-1.47	-1.76849+0.337358i
-1.469	-1.76563+0.348324i
-1.468	-1.7627+0.359267i
-1.467	-1.75971+0.370187i
-1.466	-1.75665+0.381084i
-1.465	-1.75351+0.391957i
-1.464	-1.75032+0.402806i
-1.463	-1.74705+0.41363i
-1.462	-1.74372+0.424429i
-1.461	-1.74032+0.435202i
-1.46	-1.73686+0.44595i
-1.459	-1.73333+0.456671i
-1.458	-1.72974+0.467366i
-1.457	-1.72607+0.478034i
-1.456	-1.72235+0.488674i
-1.455	-1.71856+0.499286i
-1.454	-1.7147+0.50987i
-1.453	-1.71078+0.520426i
-1.452	-1.70679+0.530952i
-1.451	-1.70274+0.541449i
-1.45	-1.69862+0.551916i
-1.449	-1.69444+0.562353i
-1.448	-1.6902+0.572759i
-1.447	-1.68589+0.583134i
-1.446	-1.68152+0.593478i
-1.445	-1.67709+0.60379i
-1.444	-1.6726+0.61407i
-1.443	-1.66804+0.624317i
-1.442	-1.66342+0.634532i
-1.441	-1.65873+0.644713i
-1.44	-1.65399+0.65486i
-1.439	-1.64918+0.664973i
-1.438	-1.64431+0.675052i
-1.437	-1.63938+0.685096i
-1.436	-1.63439+0.695105i
-1.435	-1.62934+0.705078i
-1.434	-1.62423+0.715016i
-1.433	-1.61906+0.724917i
-1.432	-1.61382+0.734781i
-1.431	-1.60853+0.744609i
-1.43	-1.60318+0.754399i
-1.429	-1.59777+0.764151i
-1.428	-1.5923+0.773865i
-1.427	-1.58677+0.783541i
-1.426	-1.58118+0.793178i
-1.425	-1.57554+0.802776i
-1.424	-1.56983+0.812335i
-1.423	-1.56407+0.821854i
-1.422	-1.55826+0.831332i
-1.421	-1.55238+0.84077i
-1.42	-1.54645+0.850167i
-1.419	-1.54046+0.859523i
-1.418	-1.53441+0.868837i
-1.417	-1.52831+0.87811i
-1.416	-1.52216+0.88734i
-1.415	-1.51595+0.896528i
-1.414	-1.50968+0.905673i
-1.413	-1.50336+0.914774i
-1.412	-1.49698+0.923833i
-1.411	-1.49055+0.932847i
-1.41	-1.48407+0.941817i
-1.409	-1.47753+0.950743i
-1.408	-1.47094+0.959623i
-1.407	-1.46429+0.968459i
-1.406	-1.4576+0.977249i
-1.405	-1.45085+0.985994i
-1.404	-1.44404+0.994692i
-1.403	-1.43719+1.00334i
-1.402	-1.43029+1.01195i
-1.401	-1.42333+1.02051i
-1.4	-1.41632+1.02902i
-1.399	-1.40927+1.03748i
-1.398	-1.40216+1.0459i
-1.397	-1.395+1.05427i
-1.396	-1.38779+1.06259i
-1.395	-1.38054+1.07086i
-1.394	-1.37323+1.07908i
-1.393	-1.36588+1.08725i
-1.392	-1.35848+1.09537i
-1.391	-1.35103+1.10344i
-1.39	-1.34353+1.11147i
-1.389	-1.33599+1.11944i
-1.388	-1.3284+1.12736i
-1.387	-1.32076+1.13523i
-1.386	-1.31307+1.14305i
-1.385	-1.30534+1.15081i
-1.384	-1.29757+1.15853i
-1.383	-1.28975+1.16619i
-1.382	-1.28188+1.1738i
-1.381	-1.27397+1.18136i
-1.38	-1.26602+1.18887i
-1.379	-1.25802+1.19632i
-1.378	-1.24998+1.20372i
-1.377	-1.24189+1.21107i
-1.376	-1.23376+1.21836i
-1.375	-1.22559+1.22559i
-1.374	-1.21738+1.23278i
-1.373	-1.20913+1.23991i
-1.372	-1.20083+1.24698i
-1.371	-1.1925+1.254i
-1.37	-1.18412+1.26096i
-1.369	-1.17571+1.26787i
-1.368	-1.16725+1.27472i
-1.367	-1.15875+1.28152i
-1.366	-1.15022+1.28826i
-1.365	-1.14165+1.29494i
-1.364	-1.13303+1.30157i
-1.363	-1.12438+1.30814i
-1.362	-1.11569+1.31465i
-1.361	-1.10697+1.32111i
-1.36	-1.09821+1.32751i
-1.359	-1.08941+1.33385i
-1.358	-1.08057+1.34013i
-1.357	-1.0717+1.34635i
-1.356	-1.0628+1.35252i
-1.355	-1.05386+1.35863i
-1.354	-1.04488+1.36467i
-1.353	-1.03587+1.37066i
-1.352	-1.02683+1.3766i
-1.351	-1.01775+1.38247i
