n xn
-32.000000 0.688967
-31.000000 1.000000
-30.000000 0.688967
-29.000000 -0.050649
-28.000000 -0.758758
-27.000000 -0.994869
-26.000000 -0.612106
-25.000000 0.151428
-24.000000 0.820763
-23.000000 0.979530
-22.000000 0.528964
-21.000000 -0.250653
-20.000000 -0.874347
-19.000000 -0.954139
-18.000000 -0.440394
-17.000000 0.347305
-16.000000 0.918958
-15.000000 0.918958
-14.000000 0.347305
-13.000000 -0.440394
-12.000000 -0.954139
-11.000000 -0.874347
-10.000000 -0.250653
-9.000000 0.528964
-8.000000 0.979530
-7.000000 0.820763
-6.000000 0.151428
-5.000000 -0.612106
-4.000000 -0.994869
-3.000000 -0.758758
-2.000000 -0.050649
-1.000000 0.688967
0.000000 1.000000
1.000000 0.688967
2.000000 -0.050649
3.000000 -0.758758
4.000000 -0.994869
5.000000 -0.612106
6.000000 0.151428
7.000000 0.820763
8.000000 0.979530
9.000000 0.528964
10.000000 -0.250653
11.000000 -0.874347
12.000000 -0.954139
13.000000 -0.440394
14.000000 0.347305
15.000000 0.918958
16.000000 0.918958
17.000000 0.347305
18.000000 -0.440394
19.000000 -0.954139
20.000000 -0.874347
21.000000 -0.250653
22.000000 0.528964
23.000000 0.979530
24.000000 0.820763
25.000000 0.151428
26.000000 -0.612106
27.000000 -0.994869
28.000000 -0.758758
29.000000 -0.050649
30.000000 0.688967
31.000000 1.000000
